material_id,date,price,unit,origin,source,sheet
ANCHOVY,2026-07-21,1620.0,美元/吨,国产,海关总署（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
CASHEW,2026-08-20,7.32,美元/kg,进口,海关总署（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
COQ10,2026-08-20,122.57,美元/kg,国产,海关总署（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-15,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-16,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-17,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-18,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-19,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-20,8248.48,美元/吨,进口,汇易网（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-21,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-23,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-24,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-30,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-08-31,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-09-01,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
FISHOIL,2026-09-02,110.0,元/kg,国产,山东满堂红新材料有限公司(生意社）,陈瑜-蛋白水产+功能性原料
MACADAMIA,2026-08-20,6.92,美元/kg,进口,海关总署（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
SARDINE,2026-07-20,1000.0,美元/吨,进口,海关总署（同花顺iFinD）,陈瑜-蛋白水产+功能性原料
